天津电信-组播1,#group#
卡酷少儿,http://180.213.170.24:8188/rtp/239.5.0.58:5000
哈哈炫动,http://180.213.170.24:8188/rtp/239.5.0.62:5000
新动漫,http://180.213.170.24:8188/rtp/239.5.0.109:5000
先锋乒羽,http://180.213.170.24:8188/rtp/239.5.0.112:5000
山东教育卫视,http://180.213.170.24:8188/rtp/239.5.0.141:5000
重庆汽摩频道,http://180.213.170.24:8188/rtp/239.5.0.88:5000
中华美食,http://180.213.170.24:8188/rtp/239.5.1.53:5000
睛彩影视,http://180.213.170.24:8188/rtp/239.5.1.40:5000
陶瓷,http://180.213.170.24:8188/rtp/239.5.1.45:5000
文艺广播,http://180.213.170.24:8188/rtp/239.5.0.113:5000
经济广播,http://180.213.170.24:8188/rtp/239.5.0.114:5000
新闻广播,http://180.213.170.24:8188/rtp/239.5.0.115:5000
生活广播,http://180.213.170.24:8188/rtp/239.5.0.116:5000
交通广播,http://180.213.170.24:8188/rtp/239.5.0.117:5000
相声广播,http://180.213.170.24:8188/rtp/239.5.0.118:5000
小说广播,http://180.213.170.24:8188/rtp/239.5.0.119:5000
滨海广播,http://180.213.170.24:8188/rtp/239.5.0.120:5000
音乐广播,http://180.213.170.24:8188/rtp/239.5.0.121:5000
动听885,http://180.213.170.24:8188/rtp/239.5.0.122:5000

甘肃电信-组播1,#group#
凤凰中文,http://42.92.195.94:10000/udp/239.255.30.50:8231
凤凰资讯,http://42.92.195.94:10000/udp/239.255.30.70:8231
甘肃卫视,http://42.92.195.94:10000/udp/239.255.30.249:8231
甘肃文化影视,http://42.92.195.94:10000/udp/239.255.30.250:8231
甘肃公共频道,http://42.92.195.94:10000/udp/239.255.30.251:8231
甘肃科教频道,http://42.92.195.94:10000/udp/239.255.30.252:8231
甘肃经济频道,http://42.92.195.94:10000/udp/239.255.30.253:8231
甘肃少儿频道,http://42.92.195.94:10000/udp/239.255.30.254:8231
陇尚生活,http://42.92.195.94:10000/udp/239.255.30.73:8231
临夏新闻综合,http://42.92.195.94:10000/udp/239.255.30.107:8231
临夏文旅频道,http://42.92.195.94:10000/udp/239.255.30.108:8231
皋兰电视台,http://42.92.195.94:10000/udp/239.255.30.236:8231
CCTV-1综合,http://42.92.195.94:10000/udp/239.255.30.101:8231
